instance,alpha,tune,value,weight
knapsack-100-1,0.0,0,4149,2906
knapsack-100-1,0.0,1,4149,2906
knapsack-100-1,0.0,2,4149,2906
knapsack-100-1,0.0,3,4149,2906
knapsack-100-1,0.0,4,4149,2906
knapsack-100-1,0.1,0,4149,2906
knapsack-100-1,0.1,1,4149,2906
knapsack-100-1,0.1,2,4149,2906
knapsack-100-1,0.1,3,4149,2906
knapsack-100-1,0.1,4,4149,2906
knapsack-100-1,0.2,0,4149,2906
knapsack-100-1,0.2,1,4149,2906
knapsack-100-1,0.2,2,4149,2906
knapsack-100-1,0.2,3,4149,2906
knapsack-100-1,0.2,4,4149,2906
knapsack-100-1,0.3,0,4149,2906
knapsack-100-1,0.3,1,4149,2906
knapsack-100-1,0.3,2,4149,2906
knapsack-100-1,0.3,3,4149,2906
knapsack-100-1,0.3,4,4149,2906
knapsack-100-1,0.4,0,4149,2906
knapsack-100-1,0.4,1,4149,2906
knapsack-100-1,0.4,2,4149,2906
knapsack-100-1,0.4,3,4149,2906
knapsack-100-1,0.4,4,4149,2906
knapsack-100-1,0.5,0,4149,2906
knapsack-100-1,0.5,1,4149,2906
knapsack-100-1,0.5,2,4149,2906
knapsack-100-1,0.5,3,4149,2906
knapsack-100-1,0.5,4,4149,2906
knapsack-100-1,0.6,0,4149,2906
knapsack-100-1,0.6,1,4149,2906
knapsack-100-1,0.6,2,4149,2906
knapsack-100-1,0.6,3,4149,2906
knapsack-100-1,0.6,4,4149,2906
knapsack-100-1,0.7,0,4149,2906
knapsack-100-1,0.7,1,4149,2906
knapsack-100-1,0.7,2,4149,2906
knapsack-100-1,0.7,3,4149,2906
knapsack-100-1,0.7,4,4149,2906
knapsack-100-1,0.8,0,4149,2906
knapsack-100-1,0.8,1,4149,2906
knapsack-100-1,0.8,2,4149,2906
knapsack-100-1,0.8,3,4149,2906
knapsack-100-1,0.8,4,4149,2906
knapsack-100-1,0.9,0,4149,2906
knapsack-100-1,0.9,1,4147,2905
knapsack-100-1,0.9,2,4147,2908
knapsack-100-1,0.9,3,4147,2908
knapsack-100-1,0.9,4,4147,2905
knapsack-100-1,1.0,0,4137,2905
knapsack-100-1,1.0,1,4137,2905
knapsack-100-1,1.0,2,4136,2905
knapsack-100-1,1.0,3,4137,2905
knapsack-100-1,1.0,4,4139,2906
bin_packing-100-1,0.0,0,19676,19676
bin_packing-100-1,0.0,1,19676,19676
bin_packing-100-1,0.0,2,19676,19676
bin_packing-100-1,0.0,3,19676,19676
bin_packing-100-1,0.0,4,19676,19676
bin_packing-100-1,0.1,0,19775,19775
bin_packing-100-1,0.1,1,19775,19775
bin_packing-100-1,0.1,2,19775,19775
bin_packing-100-1,0.1,3,19775,19775
bin_packing-100-1,0.1,4,19676,19676
bin_packing-100-1,0.2,0,19950,19950
bin_packing-100-1,0.2,1,19973,19973
bin_packing-100-1,0.2,2,19872,19872
bin_packing-100-1,0.2,3,19936,19936
bin_packing-100-1,0.2,4,20000,20000
bin_packing-100-1,0.3,0,19936,19936
bin_packing-100-1,0.3,1,19830,19830
bin_packing-100-1,0.3,2,19879,19879
bin_packing-100-1,0.3,3,19837,19837
bin_packing-100-1,0.3,4,19836,19836
bin_packing-100-1,0.4,0,19676,19676
bin_packing-100-1,0.4,1,19875,19875
bin_packing-100-1,0.4,2,19815,19815
bin_packing-100-1,0.4,3,19775,19775
bin_packing-100-1,0.4,4,19830,19830
bin_packing-100-1,0.5,0,19734,19734
bin_packing-100-1,0.5,1,19677,19677
bin_packing-100-1,0.5,2,19216,19216
bin_packing-100-1,0.5,3,19514,19514
bin_packing-100-1,0.5,4,19654,19654
bin_packing-100-1,0.6,0,19676,19676
bin_packing-100-1,0.6,1,19775,19775
bin_packing-100-1,0.6,2,19887,19887
bin_packing-100-1,0.6,3,19751,19751
bin_packing-100-1,0.6,4,18704,18704
bin_packing-100-1,0.7,0,18751,18751
bin_packing-100-1,0.7,1,19469,19469
bin_packing-100-1,0.7,2,18766,18766
bin_packing-100-1,0.7,3,18351,18351
bin_packing-100-1,0.7,4,18236,18236
bin_packing-100-1,0.8,0,18236,18236
bin_packing-100-1,0.8,1,18076,18076
