name,algorithm,objective,time
project.9,greedy,29,0.004307985305786133
project.9,local_search,29,0.0054168701171875
project.9,grasp,29,300.05614590644836
project.8,greedy,34,0.0007810592651367188
project.8,local_search,34,0.0016162395477294922
project.8,grasp,35,304.56038784980774
project.5,greedy,15,8.606910705566406e-05
project.5,local_search,15,0.00020194053649902344
project.5,grasp,15,300.0001368522644
project.4,greedy,16,0.00010085105895996094
project.4,local_search,16,0.00018215179443359375
project.4,grasp,16,300.0001308917999
project.6,greedy,16,0.00011897087097167969
project.6,local_search,16,0.0002269744873046875
project.6,grasp,17,300.0000591278076
project.7,greedy,12,0.00016999244689941406
project.7,local_search,12,0.0003619194030761719
project.7,grasp,12,300.00024008750916
project.3,greedy,10,0.00031113624572753906
project.3,local_search,10,0.00019097328186035156
project.3,grasp,10,300.00014996528625
project.2,greedy,11,7.891654968261719e-05
project.2,local_search,11,0.00014209747314453125
project.2,grasp,11,300.0000960826874
project.0,greedy,7,7.510185241699219e-05
project.0,local_search,7,0.0001342296600341797
project.0,grasp,7,300.00008606910706
project.1,greedy,11,7.295608520507812e-05
project.1,local_search,11,0.0001621246337890625
project.1,grasp,11,300.0001108646393
